course_id,title,title_url,image,summary,rating,review,duration,no_of_lectures,level_course,author,course_card_rating,price
,"Free Blender Crash Course!
Start now to create your 3D Scenes!Rating: 4.6 out of 53831 reviews2.5 total hours15 lecturesBeginner",https://www.udemy.com/course/blender-crash-course/,https://img-c.udemycdn.com/course/240x135/2657572_8301.jpg,Start now to create your 3D Scenes!,Rating: 4.6 out of 5,3831 reviews,2.5 total hours,15 lectures,Beginner,Gustavo Rosa,"-3,831",Free
,"Web Hosting 101: Get Your Website Live on the Web in No Time
Learn how to publish your own website live on the web in no time with this web hosting crash course.Rating: 4.4 out of 53753 reviews1 total hour9 lecturesAll Levels",https://www.udemy.com/course/web-hosting-101/,https://img-c.udemycdn.com/course/240x135/40017_84f0_5.jpg,Learn how to publish your own website live on the web in no time with this web hosting crash course.,Rating: 4.4 out of 5,3753 reviews,1 total hour,9 lectures,All Levels,"Brad Hussey, Code College","-3,753",Free
,"Photoshop CC for Web Design Beginners
Learning the basics of Photoshop CC for Web Design BeginnersRating: 4.4 out of 53643 reviews2 total hours14 lecturesBeginner",https://www.udemy.com/course/photoshop-for-web-design-beginners-version2/,https://img-c.udemycdn.com/course/240x135/599170_aa50_3.jpg,Learning the basics of Photoshop CC for Web Design Beginners,Rating: 4.4 out of 5,3643 reviews,2 total hours,14 lectures,Beginner,Carl Heaton,"-3,643",Free
,"Adobe InDesign Made Easy. A Beginners Guide To InDesign
Learn how to use Adobe InDesign to build comprehensive page layouts. A beginners course by Infinite SkillsRating: 4.5 out of 53498 reviews11 total hours105 lecturesAll Levels",https://www.udemy.com/course/adobe-indesign-made-easy/,https://img-c.udemycdn.com/course/240x135/230830_647c_6.jpg,Learn how to use Adobe InDesign to build comprehensive page layouts. A beginners course by Infinite Skills,Rating: 4.5 out of 5,3498 reviews,11 total hours,105 lectures,All Levels,Infinite Skills,"-3,498",Free
,"Introduction to Blender For Beginners
The complete beginners guide to Blender and the world of 3D.Rating: 4.2 out of 53397 reviews5 total hours63 lecturesBeginner",https://www.udemy.com/course/introduction-to-blender-for-beginners/,https://img-c.udemycdn.com/course/240x135/898718_4e2a_2.jpg,The complete beginners guide to Blender and the world of 3D.,Rating: 4.2 out of 5,3397 reviews,5 total hours,63 lectures,Beginner,Danan Thilakanathan,"-3,397",Free
,"Create a WordPress Website for Your Web Design Business
A beginner's guide to creating a WordPress website without any coding for your web design & SEO business. Rating: 4.3 out of 53228 reviews1 total hour23 lecturesBeginner",https://www.udemy.com/course/create-wordpress-website-for-your-web-design-business/,https://img-c.udemycdn.com/course/240x135/149006_b92e_8.jpg,A beginner's guide to creating a WordPress website without any coding for your web design & SEO business.,Rating: 4.3 out of 5,3228 reviews,1 total hour,23 lectures,Beginner,Christine Maisel,"-3,228",Free
,"Figure Drawing From Life Using The Reilly Technique.
Learn to draw the figure from life in less than 45 minutes.Rating: 3.7 out of 53071 reviews2.5 total hours22 lecturesAll Levels",https://www.udemy.com/course/figure-drawing-from-life-using-the-reilly-technique/,https://img-c.udemycdn.com/course/240x135/17349_932f_8.jpg,Learn to draw the figure from life in less than 45 minutes.,Rating: 3.7 out of 5,3071 reviews,2.5 total hours,22 lectures,All Levels,Donelli DiMaria,"-3,071",Free
,"Introduction To Graphic Design
Learn the basics of graphic design using Canva to create real world projects.Rating: 4.1 out of 52977 reviews2 total hours23 lecturesBeginner",https://www.udemy.com/course/graphic-design-intro/,https://img-c.udemycdn.com/course/240x135/1567500_e265_2.jpg,Learn the basics of graphic design using Canva to create real world projects.,Rating: 4.1 out of 5,2977 reviews,2 total hours,23 lectures,Beginner,Anthony Isaac,"-2,977",Free
,"WordPress for Beginners - How to Make a Website Step by Step
Make a Website with WordPress Using a Free WordPress Theme - Simple & Easy. No Experience Required!Rating: 4.3 out of 52631 reviews1 total hour11 lecturesBeginner",https://www.udemy.com/course/wordpress-website-tutorial/,https://img-c.udemycdn.com/course/240x135/1561106_19a9_11.jpg,Make a Website with WordPress Using a Free WordPress Theme - Simple & Easy. No Experience Required!,Rating: 4.3 out of 5,2631 reviews,1 total hour,11 lectures,Beginner,Daragh Walsh,"-2,631",Free
,"User Experience Certification
An introduction to the BCS Foundation Certificate in UXRating: 4.3 out of 52572 reviews1 total hour17 lecturesIntermediate",https://www.udemy.com/course/certificate-in-ux/,https://img-c.udemycdn.com/course/240x135/663850_1c1c_3.jpg,An introduction to the BCS Foundation Certificate in UX,Rating: 4.3 out of 5,2572 reviews,1 total hour,17 lectures,Intermediate,David Travis,"-2,572",Free
,"Create Stunning Infographics to Share your Ideas
The Easiest Way to Create Stunning Infographics to Share Your Ideas, Projects, Etc.Rating: 4.2 out of 52433 reviews30 total mins7 lecturesBeginner",https://www.udemy.com/course/infographic/,https://img-c.udemycdn.com/course/240x135/874656_ad38.jpg,"The Easiest Way to Create Stunning Infographics to Share Your Ideas, Projects, Etc.",Rating: 4.2 out of 5,2433 reviews,30 total mins,7 lectures,Beginner,Backyard Courses,"-2,433",Free
,"Photoshop CC: The Essentials of Photoshop In Just 2 hrs
Photoshop CC - Give me 2 hrs of your time and I'll arm you with the skills you need for success, no matter the project.Rating: 4.4 out of 52113 reviews2.5 total hours34 lecturesBeginner",https://www.udemy.com/course/photoshop-cc-introduction-tutorial-quick-start/,https://img-c.udemycdn.com/course/240x135/433710_1cce_3.jpg,"Photoshop CC - Give me 2 hrs of your time and I'll arm you with the skills you need for success, no matter the project.",Rating: 4.4 out of 5,2113 reviews,2.5 total hours,34 lectures,Beginner,Adam Zollinger,"-2,113",Free
,"Bentley Staad Pro v8i
CAD-SHEEKSHA presents complete guide on 'BENTLEY STAADPRO v8i'. This software is accepted worldwide and very useful.Rating: 4.6 out of 52067 reviews1.5 total hours14 lecturesAll Levels",https://www.udemy.com/course/staadpro-cs/,https://img-c.udemycdn.com/course/240x135/481948_4914_9.jpg,CAD-SHEEKSHA presents complete guide on 'BENTLEY STAADPRO v8i'. This software is accepted worldwide and very useful.,Rating: 4.6 out of 5,2067 reviews,1.5 total hours,14 lectures,All Levels,Krishna Lodha,"-2,067",Free
,"Basic Animation In After Effects
Learn basic animation, motion graphics and how to add special effects to video in After Effects.Rating: 4.3 out of 52048 reviews1 total hour8 lecturesBeginner",https://www.udemy.com/course/basic-animation-in-after-effects/,https://img-c.udemycdn.com/course/240x135/357100_bd5d_3.jpg,"Learn basic animation, motion graphics and how to add special effects to video in After Effects.",Rating: 4.3 out of 5,2048 reviews,1 total hour,8 lectures,Beginner,Dara Harper,"-2,048",Free
,"How to draw a realistic eye
Using pencil, follow the step by step instructions to draw an eyeRating: 4.7 out of 51945 reviews34 total mins7 lecturesBeginner",https://www.udemy.com/course/how-to-draw-a-realistic-eye/,https://img-c.udemycdn.com/course/240x135/918278_36fb.jpg,"Using pencil, follow the step by step instructions to draw an eye",Rating: 4.7 out of 5,1945 reviews,34 total mins,7 lectures,Beginner,Joe McMenamin,"-1,945",Free
,"2D Game Art for Non-Artists
Create beautiful cartoon art with a modern edge, and harness light and shading techniques to give your work depthRating: 3.7 out of 51913 reviews2 total hours12 lecturesBeginner",https://www.udemy.com/course/2d-game-art-for-non-artists/,https://img-c.udemycdn.com/course/240x135/484894_f362.jpg,"Create beautiful cartoon art with a modern edge, and harness light and shading techniques to give your work depth",Rating: 3.7 out of 5,1913 reviews,2 total hours,12 lectures,Beginner,3D BUZZ Programming and Digital Art training,"-1,913",Free
,"Mass Building using Autodesk Revit
Revit Quick Start Program is designed for both beginners and industry professionals looking to explore RevitRating: 4.5 out of 51832 reviews1 total hour8 lecturesBeginner",https://www.udemy.com/course/revit_3dtraining_quickstart/,https://img-c.udemycdn.com/course/240x135/234386_eecb_6.jpg,Revit Quick Start Program is designed for both beginners and industry professionals looking to explore Revit,Rating: 4.5 out of 5,1832 reviews,1 total hour,8 lectures,Beginner,3DTraining .com,"-1,832",Free
,"How to Animate Logos for Companies & Brands
Practical Animation that Brings Logos to Life In 1 Hour or LessRating: 4.3 out of 51616 reviews4 total hours20 lecturesBeginner",https://www.udemy.com/course/living-logos-animation-simple-after-effects/,https://img-c.udemycdn.com/course/240x135/666300_2345_6.jpg,Practical Animation that Brings Logos to Life In 1 Hour or Less,Rating: 4.3 out of 5,1616 reviews,4 total hours,20 lectures,Beginner,Michael McGreal,"-1,616",Free
,"Cartoon Drawing: For The Absolute Beginner!
Take your stick-man and upgrade it into a 3D character!Rating: 4.6 out of 51550 reviews1.5 total hours16 lecturesBeginner",https://www.udemy.com/course/cartoon-drawing-for-the-absolute-beginner/,https://img-c.udemycdn.com/course/240x135/2265000_e0dd_3.jpg,Take your stick-man and upgrade it into a 3D character!,Rating: 4.6 out of 5,1550 reviews,1.5 total hours,16 lectures,Beginner,"Mitchell Bouchard, Kevin Gardin","-1,550",Free
,"Digitally Painting and Drawing Eyes
Take Your Digital Paintings to the Next LevelRating: 4.5 out of 51544 reviews1.5 total hours15 lecturesAll Levels",https://www.udemy.com/course/digitally-painting-and-drawing-eyes/,https://img-c.udemycdn.com/course/240x135/1156980_1c8d_4.jpg,Take Your Digital Paintings to the Next Level,Rating: 4.5 out of 5,1544 reviews,1.5 total hours,15 lectures,All Levels,Austin Batchelor,"-1,544",Free
,"Learn Figma for UI UX Design (with a Design Project)
Learn the Figma's Essentials for UI/UX Design from a Sr. Designer with 8+ Years of ExperienceRating: 4.0 out of 51539 reviews32 total mins5 lecturesBeginner",https://www.udemy.com/course/learn-figma-ui-ux-design-project/,https://img-c.udemycdn.com/course/240x135/4008388_4f02.jpg,Learn the Figma's Essentials for UI/UX Design from a Sr. Designer with 8+ Years of Experience,Rating: 4.0 out of 5,1539 reviews,32 total mins,5 lectures,Beginner,Pierluigi Giglio,"-1,539",Free
,"How To Build A Website Using WordPress - AMAZING
A Complete Guide To Building Amazing, Mobile Friendly Websites using WordPress.Rating: 4.3 out of 51535 reviews2 total hours22 lecturesAll Levels",https://www.udemy.com/course/how-to-build-a-website-using-wordpress/,https://img-c.udemycdn.com/course/240x135/685162_0a6e_3.jpg,"A Complete Guide To Building Amazing, Mobile Friendly Websites using WordPress.",Rating: 4.3 out of 5,1535 reviews,2 total hours,22 lectures,All Levels,Martie (Let's Build WordPress),"-1,535",Free
,"Beginners Guide To Graphic Design Without Paid Software
Discover the easy ways to do graphic design without Photoshop. 3 free websites/apps to make graphic design easy!Rating: 4.4 out of 51534 reviews34 total mins10 lecturesAll Levels",https://www.udemy.com/course/graphic-design-the-easy-way/,https://img-c.udemycdn.com/course/240x135/1472860_42e6_2.jpg,Discover the easy ways to do graphic design without Photoshop. 3 free websites/apps to make graphic design easy!,Rating: 4.4 out of 5,1534 reviews,34 total mins,10 lectures,All Levels,Greg Gottfried,"-1,534",Free
,"Quote Images for Pinterest, Facebook, & Instagram
How to create amazing quote pictures for social media Fast, Easy & FreeRating: 4.7 out of 51502 reviews1 total hour18 lecturesBeginner",https://www.udemy.com/course/viral-images-pinterest-facebook-instagram/,https://img-c.udemycdn.com/course/240x135/611370_2127_3.jpg,"How to create amazing quote pictures for social media Fast, Easy & Free",Rating: 4.7 out of 5,1502 reviews,1 total hour,18 lectures,Beginner,Anna Lynd,"-1,502",Free
,"Create Your Own Character in Blender
Learn the Great skill of character creation with Blender 3DRating: 4.9 out of 51378 reviews8.5 total hours73 lecturesBeginner",https://www.udemy.com/course/create-your-own-character/,https://img-c.udemycdn.com/course/240x135/783802_be91_9.jpg,Learn the Great skill of character creation with Blender 3D,Rating: 4.9 out of 5,1378 reviews,8.5 total hours,73 lectures,Beginner,Thomas McDonald,"-1,378",Free
,"Learn Illustrator By Recreating Top 3 Logos - Beginner Guide
In this course you'll learn how to use illustrator by recreating top 3 logos.Rating: 3.7 out of 51306 reviews1 total hour11 lecturesBeginner",https://www.udemy.com/course/learn-illustrator/,https://img-c.udemycdn.com/course/240x135/627782_77e2.jpg,In this course you'll learn how to use illustrator by recreating top 3 logos.,Rating: 3.7 out of 5,1306 reviews,1 total hour,11 lectures,Beginner,Kashif Iqbal,"-1,306",Free
,"Solidworks Essentials
Beginners guide to SolidWorksRating: 4.3 out of 51242 reviews6.5 total hours67 lecturesBeginner",https://www.udemy.com/course/solidworks-essentials/,https://img-c.udemycdn.com/course/240x135/2306310_4fae.jpg,Beginners guide to SolidWorks,Rating: 4.3 out of 5,1242 reviews,6.5 total hours,67 lectures,Beginner,Pegasus Training,"-1,242",Free
,"HTML and CSS: The Super Fun Beginner's Course
The starting place for all the other HTML courses out there!Rating: 4.0 out of 51152 reviews1 total hour9 lecturesBeginner",https://www.udemy.com/course/ht-mlcss/,https://img-c.udemycdn.com/course/240x135/1192478_0bde_8.jpg,The starting place for all the other HTML courses out there!,Rating: 4.0 out of 5,1152 reviews,1 total hour,9 lectures,Beginner,Adam Frisbee,"-1,152",Free
,"Introduction to X Theme and Cornerstone for Wordpress
Create beautiful websites using X Theme and Cornerstone with Wordpress.Rating: 4.3 out of 51144 reviews2.5 total hours33 lecturesBeginner",https://www.udemy.com/course/intro-to-x-theme-cornerstone-for-wordpress/,https://img-c.udemycdn.com/course/240x135/752918_52e3.jpg,Create beautiful websites using X Theme and Cornerstone with Wordpress.,Rating: 4.3 out of 5,1144 reviews,2.5 total hours,33 lectures,Beginner,Jerad Hill,"-1,144",Free
,"Improve Anime Drawings With Leonardo DaVinci Method
Learn how to apply the Method by Leonardo DaVinci to improve your drawings.Rating: 3.7 out of 51080 reviews1 total hour10 lecturesBeginner",https://www.udemy.com/course/improve-anime-drawings-with-leonardo-davinci-method/,https://img-c.udemycdn.com/course/240x135/1968896_9bdc.jpg,Learn how to apply the Method by Leonardo DaVinci to improve your drawings.,Rating: 3.7 out of 5,1080 reviews,1 total hour,10 lectures,Beginner,2D Animation 101 Courses,"-1,080",Free
,"Adobe Photoshop CS6 - For Beginners
Adobe Photoshop CC is the industry standard software program for bitmap editing in all fields of development and design.Rating: 4.0 out of 51047 reviews2 total hours15 lecturesBeginner",https://www.udemy.com/course/learn-adobe-photoshop-cs6-for-beginners/,https://img-c.udemycdn.com/course/240x135/976608_de2b_3.jpg,Adobe Photoshop CC is the industry standard software program for bitmap editing in all fields of development and design.,Rating: 4.0 out of 5,1047 reviews,2 total hours,15 lectures,Beginner,Ashish Yadav,"-1,047",Free
,"MECHANISMS AND MOTION - ROBOTICS FOCUS
PREPARING FOR A CAREER IN MECHANICAL ENGINEERING & 3D DESIGN - Solid Edge; Solidworks; Creo; Blender; AutoCadRating: 4.4 out of 51025 reviews5 total hours84 lecturesIntermediate",https://www.udemy.com/course/mechanisms/,https://img-c.udemycdn.com/course/240x135/1638738_6847.jpg,PREPARING FOR A CAREER IN MECHANICAL ENGINEERING & 3D DESIGN - Solid Edge; Solidworks; Creo; Blender; AutoCad,Rating: 4.4 out of 5,1025 reviews,5 total hours,84 lectures,Intermediate,John Devitry,"-1,025",Free
,"Fundamentals of User Interface Design
Learn to create slick UI's as you learn the fundamentals of design such as typography, color theory, design principles.Rating: 4.2 out of 51018 reviews3.5 total hours39 lecturesBeginner",https://www.udemy.com/course/fundamentals-of-user-interface-design/,https://img-c.udemycdn.com/course/240x135/2599528_1956.jpg,"Learn to create slick UI's as you  learn the fundamentals of design such as typography, color theory, design principles.",Rating: 4.2 out of 5,1018 reviews,3.5 total hours,39 lectures,Beginner,Ahmet Efeoğlu,"-1,018",Free
,"Learn Maya - Character Head Modeling for Beginners
This course will open your path towards character modeling.Rating: 4.8 out of 51011 reviews2 total hours19 lecturesBeginner",https://www.udemy.com/course/learn-maya-character-head-modeling-for-beginners/,https://img-c.udemycdn.com/course/240x135/1321664_22ee.jpg,This course will open your path towards character modeling.,Rating: 4.8 out of 5,1011 reviews,2 total hours,19 lectures,Beginner,Nalini Kanta Jena,"-1,011",Free
,"Canva |Top 10 Burning Questions & How To's
Let me answer the Internet's top 10 Canva questions & How to'sRating: 4.7 out of 5993 reviews2.5 total hours11 lecturesAll Levels",https://www.udemy.com/course/canva-free-course/,https://img-c.udemycdn.com/course/240x135/2293597_8956.jpg,Let me answer the Internet's top 10 Canva questions & How to's,Rating: 4.7 out of 5,993 reviews,2.5 total hours,11 lectures,All Levels,Ronny Hermosa,-993,Free
,"Crash Course In Infographics with Easelly
Learn to communicate visually without any design experience!Rating: 4.7 out of 5982 reviews44 total mins15 lecturesBeginner",https://www.udemy.com/course/crash-course-in-infographics-with-easelly/,https://img-c.udemycdn.com/course/240x135/1124882_d2b9_2.jpg,Learn to communicate visually without any design experience!,Rating: 4.7 out of 5,982 reviews,44 total mins,15 lectures,Beginner,Dinah Ramirez,-982,Free
,"Combat Knife 3D Game Asset in Blender and Substance Painter
Learn to model, UV unwrap, and texture a high quality game asset from start to finish.Rating: 4.9 out of 5958 reviews2 total hours7 lecturesBeginner",https://www.udemy.com/course/combat-knife-3d-game-model-asset-in-blender-and-substance-painter/,https://img-c.udemycdn.com/course/240x135/2122746_fa3f.jpg,"Learn to model, UV unwrap, and texture a high quality game asset from start to finish.",Rating: 4.9 out of 5,958 reviews,2 total hours,7 lectures,Beginner,"Chris Plush, CG Masters",-958,Free
,"Learn Inkscape : Design Logos and Game Arts
Learn To Design Logos And Game Art Using Inkscape Become A Designer. FREE InkscapeRating: 3.9 out of 5888 reviews1 total hour12 lecturesBeginner",https://www.udemy.com/course/design-logos-and-game-arts-inkscape/,https://img-c.udemycdn.com/course/240x135/1134692_9bc5_2.jpg,Learn To Design Logos And Game Art Using Inkscape Become A Designer. FREE Inkscape,Rating: 3.9 out of 5,888 reviews,1 total hour,12 lectures,Beginner,Swapnil Rane,-888,Free
,"Blender Basics
Easy to follow tutorials to learn basic animation in Blender.Rating: 4.6 out of 5873 reviews1.5 total hours16 lecturesBeginner",https://www.udemy.com/course/blender-basics/,https://img-c.udemycdn.com/course/240x135/1342722_e169.jpg,Easy to follow tutorials to learn basic animation in Blender.,Rating: 4.6 out of 5,873 reviews,1.5 total hours,16 lectures,Beginner,Dara Harper,-873,Free
,"AutoCAD 2020 : Basic Drafting Techniques for Designers
For Basic and Intermediate usersRating: 4.1 out of 5867 reviews2 total hours18 lecturesBeginner",https://www.udemy.com/course/autocad-2020-basic-drafting-techniques-for-designers/,https://img-c.udemycdn.com/course/240x135/2642404_b6da_3.jpg,For Basic and Intermediate users,Rating: 4.1 out of 5,867 reviews,2 total hours,18 lectures,Beginner,CADCIM Technologies,-867,Free
,"Mastering Camtasia Studio 9 and Camtasia Mac 3 Preview
Get up and running with Camtasia for free!Rating: 4.4 out of 5860 reviews39 total mins14 lecturesBeginner",https://www.udemy.com/course/camtasia9preview/,https://img-c.udemycdn.com/course/240x135/1151924_6b62_2.jpg,Get up and running with Camtasia for free!,Rating: 4.4 out of 5,860 reviews,39 total mins,14 lectures,Beginner,Nathan Nagele,-860,Free
,"Beginners Digital Illustration with Krita
Get started digital painting for free with KritaRating: 4.6 out of 5859 reviews1 total hour16 lecturesBeginner",https://www.udemy.com/course/essentials-of-digital-illustration-with-krita-section-1/,https://img-c.udemycdn.com/course/240x135/1456534_7e11_3.jpg,Get started digital painting for free with Krita,Rating: 4.6 out of 5,859 reviews,1 total hour,16 lectures,Beginner,Paul Gieske,-859,Free
,"Create 3D Game Characters: No modeling or rigging required
Create and animate professional-level, 3D game characters without any experience in modeling, sculpting or rigging.Rating: 4.4 out of 5854 reviews3 total hours15 lecturesAll Levels",https://www.udemy.com/course/create-3d-game-characters-no-modeling-or-rigging-required/,https://img-c.udemycdn.com/course/240x135/672890_47bf.jpg,"Create and animate professional-level, 3D game characters without any experience in modeling, sculpting or rigging.",Rating: 4.4 out of 5,854 reviews,3 total hours,15 lectures,All Levels,Reallusion Inc,-854,Free
,"Adobe After Effects Templates for Beginners
Improve your videos with pre-made After Effects templates. No previous skill required to spice up your videos today!Rating: 4.9 out of 5853 reviews1 total hour15 lecturesBeginner",https://www.udemy.com/course/how-to-use-after-effects-templates/,https://img-c.udemycdn.com/course/240x135/467836_fa87_2.jpg,Improve your videos with pre-made After Effects templates. No previous skill required to spice up your videos today!,Rating: 4.9 out of 5,853 reviews,1 total hour,15 lectures,Beginner,"Phil Ebiner, Video School",-853,Free
,"Photoshop CC 2020 Productivity Techniques
Learn techniques which will ensure hyper-efficiency & consistency within PhotoshopRating: 4.6 out of 5843 reviews1.5 total hours15 lecturesAll Levels",https://www.udemy.com/course/photoshop-cc-2019-productivity-techniques/,https://img-c.udemycdn.com/course/240x135/2689650_f696.jpg,Learn techniques which will ensure hyper-efficiency & consistency within Photoshop,Rating: 4.6 out of 5,843 reviews,1.5 total hours,15 lectures,All Levels,Daniel Walter Scott,-843,Free
,"Learn Complete Wordpress Security
A complete guide for building a secure WordPress website and preventing hack attacksRating: 4.4 out of 5831 reviews2.5 total hours21 lecturesAll Levels",https://www.udemy.com/course/learn-complete-wordpress-security/,https://img-c.udemycdn.com/course/240x135/128948_b7ba_9.jpg,A complete guide for building a secure WordPress website and preventing hack attacks,Rating: 4.4 out of 5,831 reviews,2.5 total hours,21 lectures,All Levels,"Eduonix Learning Solutions, Eduonix-Tech .",-831,Free
,"Start Making Comics with Manga Studio 5 / Clip Studio Paint
Learn to Make Comic Strips, Comic Books, Graphic Novels, & Illustrated Books: Essential Training From Zero to SuperheroRating: 4.3 out of 5825 reviews6.5 total hours77 lecturesAll Levels",https://www.udemy.com/course/start-making-comics/,https://img-c.udemycdn.com/course/240x135/839536_8a44_3.jpg,"Learn to Make Comic Strips, Comic Books, Graphic Novels, & Illustrated Books: Essential Training From Zero to Superhero",Rating: 4.3 out of 5,825 reviews,6.5 total hours,77 lectures,All Levels,Adam Savage,-825,Free
,"How to make GIMP 2.8 look and act as Photoshop
Free courses aren't allowed to be updated anymore; please read my Instructor bio for a solution. Thank you.Rating: 4.2 out of 5807 reviews2 total hours22 lecturesBeginner",https://www.udemy.com/course/free-course-make-gimp-look-and-act-as-photoshop/,https://img-c.udemycdn.com/course/240x135/1120760_737d.jpg,Free courses aren't allowed to be updated anymore; please read my Instructor bio for a solution. Thank you.,Rating: 4.2 out of 5,807 reviews,2 total hours,22 lectures,Beginner,Bernard 't Hooft,-807,Free
,"TinkerCad for Beginners
Get a quick tour of the User Interface and familiarize yourself with all the buttons and tools available in Tinkercad.Rating: 4.9 out of 5805 reviews1 total hour24 lecturesBeginner",https://www.udemy.com/course/tinkercad-for-beginners/,https://img-c.udemycdn.com/course/240x135/1673542_b87b_2.jpg,Get a quick tour of the User Interface and familiarize yourself with all the buttons and tools available in Tinkercad.,Rating: 4.9 out of 5,805 reviews,1 total hour,24 lectures,Beginner,Brian Relay,-805,Free
,"VSD - A complete guide to install open-source EDA tools
A step towards freedom in IC design!!Rating: 4.8 out of 5797 reviews3.5 total hours25 lecturesBeginner",https://www.udemy.com/course/vsd-a-complete-guide-to-install-open-source-eda-tools/,https://img-c.udemycdn.com/course/240x135/1149642_ba54_3.jpg,A step towards freedom in IC design!!,Rating: 4.8 out of 5,797 reviews,3.5 total hours,25 lectures,Beginner,Kunal Ghosh,-797,Free
